item_id,store_id,department_info,cost_to_pay
1018720,10217,BLANK,35.76
1018723,10217,BLANK,204.27
1018724,3786300,20,29.54
1018725,3786300,20,31.58
1018728,02018314,BLANK,44.04
1018729,02018314,BLANK,182.15
1018730,02018315,BLANK,28.8
1018731,02018315,BLANK,183.63
1018732,02018314,BLANK,31.44
1018733,02018314,BLANK,125.75
1018734,02018311,BLANK,66.72
1018735,02018311,BLANK,47.87
1018737,02018314,BLANK,124.56
1018738,02018312,BLANK,23.43
1018762,02018310,BLANK,175.0
1018766,02018310,BLANK,102.0
1018768,02018311,BLANK,65.0
1018770,02018314,BLANK,65.0
1018772,02018316,BLANK,65.0
1018773,02018316,BLANK,235.68
1018774,02018314,BLANK,65.0
1018775,02018314,BLANK,218.43
1018776,02018312,BLANK,65.0
1018777,02018312,BLANK,102.72
1018778,02018312,BLANK,102.72
1018779,02018316,BLANK,65.0
1018780,02018316,BLANK,203.28
1018781,02018315,BLANK,65.0
1018782,02018315,BLANK,200.59
1018783,02018315,BLANK,18.12
1018784,02018316,BLANK,99.43
1018785,02018316,BLANK,167.52
1018787,02018316,BLANK,65.0
1018788,02018316,BLANK,131.52
1018790,02018311,BLANK,65.0
1018791,02018311,BLANK,49.76
1018818,BLANK,BLANK,12.23
1018819,BLANK,BLANK,33.99
1018820,BLANK,BLANK,17.26
1018821,BLANK,BLANK,14.15
1018826,BLANK,BLANK,21.4
1018827,BLANK,BLANK,211.08
1018828,BLANK,BLANK,43.6
1018829,BLANK,BLANK,16.36
1018830,BLANK,BLANK,60.83
1018832,BLANK,BLANK,1.06
1018833,BLANK,BLANK,221.19
1018834,BLANK,BLANK,73.95
1018835,BLANK,BLANK,72.52
1018838,02018316,BLANK,82.62
1018841,02018316,BLANK,229.61
1018852,BLANK,BLANK,164.16
1018854,BLANK,BLANK,64.76
1018855,1236844,BLANK,74.68
1018858,BLANK,BLANK,42.88
1018859,1091746,BLANK,0.89
1018862,BLANK,BLANK,16.86
1018863,1236844,0037,30.15
1018864,1091746,0212,93.0
1018866,475570,JAGS9,39.8
1018867,BLANK,BLANK,68.08
1018868,BLANK,BLANK,4.0
1018874,BLANK,BLANK,112.55
1018877,BLANK,BLANK,0.54
1018878,BLANK,BLANK,17.82
1018879,02018308,BLANK,0.73
1018880,475570,BNNV9,25.0
1018881,446063,BLANK,7.2
1018882,BLANK,BLANK,16.28
1018883,446063,BLANK,8.44
1018884,BLANK,BLANK,71.28
1018885,BLANK,BLANK,1.79
1018888,BLANK,BLANK,46.83
1018889,BLANK,BLANK,104.0
1018891,BLANK,BLANK,100.0
1018893,1091746,7 - BABY CARE,10.08
1018894,BLANK,BLANK,16.78
1018895,475570,BLANK,108.9
1018896,BLANK,BLANK,41.04
1018897,1091746,0007,156.36
1018898,475570,BLANK,4.23
1018899,02018308,BLANK,33.5
1018901,BLANK,BLANK,169.11
1018902,BLANK,BLANK,25.44
1018904,BLANK,BLANK,150.0
1018905,446063,BLANK,38.76
1018909,BLANK,BLANK,5.52
1018912,BLANK,BLANK,5.07
1018913,02018308,BLANK,75.13
1018915,02018308,BLANK,50.0
1018918,446063,0079,12.72
1018919,475570,QUGN9,124.94
1018923,BLANK,BLANK,64.17
1018924,1236844,0037,84.84
1018925,BLANK,BLANK,238.56
1018926,BLANK,BLANK,41.85
1018929,BLANK,BLANK,200.0
1018933,BLANK,BLANK,50.0
1018934,BLANK,BLANK,0.62
1018935,1091746,BLANK,52.15
1018939,BLANK,BLANK,45.78
1018941,BLANK,BLANK,1.4
1018942,475570,BLANK,37.8
1018943,BLANK,BLANK,58.41
1018945,1236844,0037,67.86
1018947,BLANK,BLANK,13.32
1018949,BLANK,BLANK,4.57
1018953,446063,BLANK,5.8
1018955,BLANK,BLANK,11.37
1018956,BLANK,BLANK,0.52
1018957,BLANK,BLANK,0.88
1018958,BLANK,BLANK,19.11
1018961,BLANK,BLANK,25.8
1018965,BLANK,BLANK,9.23
1018966,BLANK,BLANK,3.0
1018967,BLANK,BLANK,35.3
1018969,BLANK,BLANK,57.54
1018970,446063,BLANK,5.6
1018972,1236844,BLANK,7.83
1018974,BLANK,BLANK,172.31
1018975,BLANK,BLANK,204.48
1018976,BLANK,BLANK,25.16
1018977,BLANK,BLANK,166.84
1018979,BLANK,BLANK,105.89
1018981,1091746,0212,35.88
1018985,446063,BLANK,5.21
1018988,BLANK,BLANK,147.35
1018989,BLANK,BLANK,64.8
1018993,02018308,BLANK,50.0
1018995,BLANK,BLANK,79.2
1018996,BLANK,BLANK,34.56
1018997,1236844,0037,64.08
1018998,BLANK,BLANK,12.83
1018999,1091746,BLANK,119.8
1019002,446063,BLANK,18.9
1019004,446063,BLANK,4.34
1019005,475570,BNNV9,0.61
1019007,BLANK,BLANK,142.11
1019010,02018308,BLANK,5.91
1019011,BLANK,BLANK,54.72
1019012,BLANK,BLANK,211.38
1019014,BLANK,BLANK,26.8
1019016,02018308,BLANK,22.23
1019017,446063,BLANK,1.79
1019018,BLANK,BLANK,0.44
1019022,BLANK,BLANK,0.44
1019023,BLANK,BLANK,25.11
1019024,475570,BLANK,32.34
1019025,02018308,BLANK,17.82
1019026,02018308,BLANK,163.23
1019028,BLANK,BLANK,10.14
1019029,1091746,007 BABY CARE,228.87
1019030,BLANK,BLANK,154.41
1019031,BLANK,BLANK,41.7
1019033,1236844,BLANK,55.08
1019035,BLANK,BLANK,61.38
1019036,02018308,BLANK,12.75
1019038,BLANK,BLANK,50.0
1019042,BLANK,BLANK,64.17
1019043,BLANK,BLANK,92.67
1019044,BLANK,BLANK,0.02
1019046,BLANK,BLANK,73.51
1019049,02018308,BLANK,0.95
1019050,BLANK,BLANK,58.34
1019052,446063,BLANK,41.58
1019053,1236844,BLANK,2.17
1019054,BLANK,BLANK,33.48
1019055,BLANK,BLANK,139.5
1019058,446063,BLANK,15.66
1019059,BLANK,BLANK,15.66
1019061,BLANK,BLANK,41.58
1019062,446063,BLANK,1.32
1019063,BLANK,BLANK,71.15
1019065,475570,BLANK,99.85
1019066,BLANK,BLANK,0.53
1019068,1091746,71 - SNACKS,213.8
1019069,BLANK,BLANK,27.9
1019070,BLANK,BLANK,26.74
1019072,BLANK,BLANK,69.3
1019074,BLANK,BLANK,77.74
1019075,446063,BLANK,16.26
1019076,BLANK,BLANK,1.33
1019078,BLANK,BLANK,25.69
1019079,446063,BLANK,8.29
1019082,BLANK,BLANK,39.16
1019084,BLANK,BLANK,22.46
1019087,BLANK,BLANK,229.41
1019091,5000496,BLANK,7.2
1019095,BLANK,BLANK,32.76
1019097,BLANK,BLANK,32.76
1019100,BLANK,BLANK,6.06
1019101,BLANK,BLANK,0.54
1019102,BLANK,BLANK,25.28
1019104,BLANK,BLANK,6.3
1019105,446063,BLANK,7.32
1019106,BLANK,BLANK,13.35
1019108,1091746,270 - FROZEN MEALS/SIDES,10.36
1019109,446063,BLANK,12.54
1019110,475570,BNNV9,208.0
1019114,BLANK,BLANK,10.8
1019116,475570,BLANK,190.69
1019117,BLANK,BLANK,0.52
1019118,446063,BLANK,124.2
1019123,BLANK,BLANK,22.32
1019126,BLANK,BLANK,93.25
1019128,BLANK,BLANK,82.08
1019129,BLANK,BLANK,39.92
1019132,BLANK,BLANK,209.71
1019133,BLANK,BLANK,0.62
1019134,BLANK,BLANK,156.78
1019138,475570,BLANK,209.01
1019139,475570,QUGN9,136.62
1019140,BLANK,BLANK,5.63
1019141,BLANK,BLANK,133.65
1019142,BLANK,BLANK,68.32
1019143,5000496,BLANK,3.0
1019145,BLANK,BLANK,3.51
1019148,BLANK,BLANK,173.26
1019150,BLANK,BLANK,220.04
1019151,BLANK,BLANK,7.34
1019152,BLANK,BLANK,32.19
1019153,BLANK,BLANK,17.72
1019155,BLANK,BLANK,41.38
1019160,BLANK,BLANK,46.34
1019162,BLANK,BLANK,2.4
1019169,5000496,BLANK,12.5
1019174,BLANK,BLANK,84.46
1019175,02018308,BLANK,11.0
1019176,1091746,0261,117.0
1019177,1091746,270 - FROZEN MEALS/SIDES,2.99
1019178,BLANK,BLANK,32.91
1019180,5000496,BLANK,30.38
1019181,BLANK,BLANK,5.36
1019183,02018308,BLANK,94.21
1019185,BLANK,BLANK,37.57
1019186,BLANK,BLANK,150.0
1019187,BLANK,BLANK,12.72
1019188,475570,QUGN9,125.0
1019189,BLANK,BLANK,41.04
1019190,5000496,BLANK,7.45
1019191,BLANK,BLANK,169.6
1019193,BLANK,BLANK,81.54
1019195,BLANK,BLANK,196.56
1019196,475570,BLANK,92.61
1019198,1091746,BLANK,29.95
1019199,BLANK,BLANK,53.03
1019201,BLANK,BLANK,38.36
1019202,BLANK,BLANK,22.04
1019203,02018308,BLANK,160.1
1019205,1091746,0007,39.66
1019206,BLANK,BLANK,41.7
1019208,446063,BLANK,7.8
1019210,BLANK,BLANK,70.63
1019212,BLANK,BLANK,95.9
1019218,BLANK,BLANK,28.8
1019220,BLANK,BLANK,19.56
1019221,BLANK,BLANK,46.34
1019222,BLANK,BLANK,83.4
1019223,BLANK,BLANK,0.97
1019224,BLANK,BLANK,55.8
1019225,02018308,BLANK,50.0
1019227,1236844,0037,50.94
1019228,BLANK,BLANK,35.64
1019229,BLANK,BLANK,129.6
1019230,BLANK,BLANK,200.64
1019231,BLANK,BLANK,9.64
1019232,BLANK,BLANK,37.5
1019233,446063,BLANK,75.6
1019235,BLANK,BLANK,28.63
1019239,BLANK,BLANK,4.76
1019241,446063,BLANK,19.38
1019242,02018308,BLANK,50.0
1019245,BLANK,BLANK,7.79
1019247,1236844,0037,31.98
1019248,446063,BLANK,3.91
1019249,BLANK,BLANK,20.69
1019250,02018308,BLANK,58.5
1019251,BLANK,BLANK,103.43
1019253,446063,BLANK,4.96
1019255,BLANK,BLANK,156.08
1019257,1236844,BLANK,115.81
1019260,BLANK,BLANK,113.19
1019261,1236844,BLANK,10.24
1019262,BLANK,BLANK,101.95
1019263,475570,BLANK,134.32
1019264,BLANK,BLANK,46.34
1019265,BLANK,BLANK,17.59
1019267,BLANK,BLANK,25.03
